timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:29:05.239, 0 %, 0 %, 19.17 W, 49, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 04:29:10.254, 0 %, 0 %, 15.93 W, 48, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:29:15.267, 0 %, 0 %, 15.34 W, 47, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:29:20.279, 0 %, 0 %, 16.52 W, 47, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:29:25.295, 100 %, 6 %, 93.44 W, 52, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:29:30.299, 100 %, 2 %, 109.22 W, 55, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:29:35.304, 100 %, 2 %, 110.18 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:29:40.308, 95 %, 5 %, 94.56 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:29:45.313, 100 %, 6 %, 94.91 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:29:50.318, 95 %, 5 %, 94.06 W, 56, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:29:55.323, 100 %, 6 %, 94.30 W, 57, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
