timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:33:48.902, 0 %, 0 %, 19.53 W, 53, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 04:33:53.917, 0 %, 0 %, 16.42 W, 52, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:33:58.930, 0 %, 0 %, 16.28 W, 51, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:34:03.942, 0 %, 0 %, 16.10 W, 50, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:34:08.952, 100 %, 6 %, 94.36 W, 55, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:34:13.957, 100 %, 2 %, 108.67 W, 58, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:34:18.962, 100 %, 2 %, 109.26 W, 59, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:34:23.967, 95 %, 5 %, 94.48 W, 58, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:34:28.972, 100 %, 6 %, 94.60 W, 58, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:34:33.977, 95 %, 5 %, 94.68 W, 59, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:34:38.982, 100 %, 6 %, 94.84 W, 59, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
