timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:30:58.621, 0 %, 0 %, 19.85 W, 52, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:31:03.636, 0 %, 0 %, 17.07 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:31:08.647, 0 %, 0 %, 16.27 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:31:13.656, 0 %, 0 %, 16.19 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:31:18.665, 100 %, 6 %, 94.54 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:31:23.670, 100 %, 2 %, 109.11 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:31:28.675, 100 %, 2 %, 109.74 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:31:33.680, 95 %, 5 %, 94.39 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:31:38.684, 100 %, 6 %, 95.01 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:31:43.690, 100 %, 6 %, 94.60 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:31:48.694, 100 %, 6 %, 94.78 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
