timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:34:45.695, 0 %, 0 %, 19.76 W, 53, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 04:34:50.710, 0 %, 0 %, 16.30 W, 52, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:34:55.723, 0 %, 0 %, 16.86 W, 51, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:35:00.735, 1 %, 0 %, 16.60 W, 50, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:35:05.753, 100 %, 6 %, 94.21 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:35:10.758, 100 %, 2 %, 109.39 W, 58, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:35:15.762, 100 %, 2 %, 110.17 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:35:20.767, 95 %, 5 %, 94.95 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:35:25.772, 100 %, 6 %, 94.89 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:35:30.777, 95 %, 5 %, 94.83 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:35:35.782, 100 %, 6 %, 95.11 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
