timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:54:17.996, 0 %, 0 %, 19.28 W, 50, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 03:54:23.011, 0 %, 0 %, 15.80 W, 48, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:54:28.024, 0 %, 0 %, 15.64 W, 48, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:54:33.037, 0 %, 0 %, 17.56 W, 47, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:54:38.049, 100 %, 6 %, 93.12 W, 53, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:54:43.056, 100 %, 2 %, 106.78 W, 55, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:54:48.061, 100 %, 2 %, 106.98 W, 56, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:54:53.065, 100 %, 6 %, 93.23 W, 55, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:54:58.070, 100 %, 6 %, 93.63 W, 56, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:55:03.075, 95 %, 5 %, 93.22 W, 56, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:55:08.079, 100 %, 6 %, 93.57 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
