timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:52:24.922, 0 %, 0 %, 15.96 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:52:29.936, 0 %, 0 %, 14.66 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:52:34.946, 0 %, 0 %, 14.68 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:52:39.956, 0 %, 0 %, 16.13 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:52:44.965, 100 %, 6 %, 90.78 W, 46, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:52:49.970, 100 %, 2 %, 107.29 W, 49, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:52:54.974, 100 %, 2 %, 106.72 W, 49, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:52:59.979, 99 %, 6 %, 92.43 W, 50, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:53:04.985, 100 %, 6 %, 92.74 W, 51, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:53:09.990, 95 %, 5 %, 92.80 W, 52, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:53:14.994, 100 %, 6 %, 93.31 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
