timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:53:21.371, 0 %, 0 %, 18.88 W, 47, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 03:53:26.387, 0 %, 0 %, 15.81 W, 46, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:53:31.399, 0 %, 0 %, 15.09 W, 45, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:53:36.412, 0 %, 0 %, 15.73 W, 45, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:53:41.425, 100 %, 6 %, 92.30 W, 51, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:53:46.430, 100 %, 2 %, 107.48 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:53:51.435, 100 %, 2 %, 107.90 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:53:56.440, 95 %, 5 %, 93.94 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:54:01.445, 100 %, 6 %, 94.10 W, 55, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:54:06.450, 95 %, 5 %, 93.94 W, 55, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:54:11.454, 100 %, 6 %, 93.32 W, 55, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
