timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:55:14.793, 0 %, 0 %, 19.86 W, 51, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 03:55:19.806, 0 %, 0 %, 17.37 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:55:24.817, 0 %, 0 %, 16.38 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:55:29.842, 0 %, 0 %, 15.61 W, 48, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:55:34.852, 100 %, 6 %, 93.46 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:55:39.857, 100 %, 2 %, 107.07 W, 56, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:55:44.862, 100 %, 2 %, 107.76 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:55:49.866, 95 %, 5 %, 93.56 W, 56, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:55:54.872, 100 %, 6 %, 93.96 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:55:59.876, 98 %, 5 %, 93.92 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:56:04.882, 100 %, 6 %, 94.00 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
