timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:37:41.692, 0 %, 0 %, 15.92 W, 43, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:37:46.707, 0 %, 0 %, 14.95 W, 42, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:37:51.718, 0 %, 0 %, 15.29 W, 42, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:37:56.727, 0 %, 0 %, 14.96 W, 42, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:38:01.738, 100 %, 6 %, 93.41 W, 49, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:38:06.743, 100 %, 2 %, 109.44 W, 52, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:38:11.747, 100 %, 2 %, 107.71 W, 51, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:38:16.752, 95 %, 5 %, 93.56 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:38:21.757, 100 %, 6 %, 94.14 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:38:26.761, 95 %, 5 %, 94.17 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:38:31.766, 100 %, 6 %, 94.33 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
