timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:41:27.817, 0 %, 0 %, 19.78 W, 52, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 03:41:32.831, 0 %, 0 %, 17.34 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:41:37.844, 0 %, 0 %, 16.41 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:41:42.856, 0 %, 0 %, 16.52 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:41:47.869, 100 %, 6 %, 93.03 W, 55, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:41:52.874, 100 %, 2 %, 107.86 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:41:57.878, 100 %, 2 %, 107.88 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:42:02.883, 100 %, 6 %, 93.77 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:42:07.889, 100 %, 6 %, 94.35 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:42:12.893, 95 %, 5 %, 94.04 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:42:17.898, 100 %, 6 %, 94.38 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
