timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:45:15.257, 0 %, 0 %, 19.60 W, 53, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 03:45:20.270, 0 %, 0 %, 16.42 W, 52, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:45:25.280, 0 %, 0 %, 16.31 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:45:30.291, 0 %, 0 %, 17.30 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:45:35.301, 100 %, 6 %, 92.27 W, 55, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:45:40.306, 100 %, 2 %, 107.99 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:45:45.311, 100 %, 2 %, 108.23 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:45:50.316, 95 %, 5 %, 94.08 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:45:55.321, 100 %, 6 %, 94.15 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:46:00.326, 95 %, 5 %, 94.28 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:46:05.331, 100 %, 6 %, 94.18 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
