timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:44:18.359, 0 %, 0 %, 19.81 W, 53, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 03:44:23.374, 0 %, 0 %, 16.60 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:44:28.387, 0 %, 0 %, 17.31 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:44:33.426, 0 %, 0 %, 16.66 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:44:38.438, 100 %, 6 %, 93.18 W, 55, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:44:43.443, 100 %, 2 %, 107.72 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:44:48.448, 100 %, 2 %, 108.37 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:44:53.453, 100 %, 6 %, 93.99 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:44:58.457, 100 %, 6 %, 94.17 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:45:03.463, 95 %, 5 %, 94.38 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:45:08.468, 100 %, 6 %, 94.13 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
