timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:05:59.841, 0 %, 0 %, 20.40 W, 48, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:06:04.855, 0 %, 0 %, 15.49 W, 47, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:06:09.868, 0 %, 0 %, 15.49 W, 46, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:06:14.877, 0 %, 0 %, 15.17 W, 45, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:06:19.887, 100 %, 6 %, 91.62 W, 52, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:06:24.892, 100 %, 2 %, 107.62 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:06:29.897, 100 %, 2 %, 106.88 W, 54, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:06:34.901, 100 %, 6 %, 92.95 W, 54, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:06:39.907, 100 %, 6 %, 93.60 W, 55, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:06:44.912, 95 %, 5 %, 93.21 W, 55, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:06:49.916, 100 %, 6 %, 93.50 W, 56, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
