timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:10:43.730, 0 %, 0 %, 21.93 W, 53, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:10:48.764, 0 %, 0 %, 16.43 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:10:53.776, 0 %, 0 %, 16.89 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:10:58.788, 0 %, 0 %, 16.61 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:11:03.802, 100 %, 6 %, 93.38 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:11:08.806, 100 %, 2 %, 108.77 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:11:13.811, 100 %, 2 %, 109.15 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:11:18.816, 97 %, 5 %, 94.26 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:11:23.820, 100 %, 6 %, 95.00 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:11:28.826, 95 %, 5 %, 94.72 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:11:33.830, 100 %, 6 %, 94.69 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
