timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:05:03.362, 0 %, 0 %, 15.88 W, 40, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:05:08.376, 0 %, 0 %, 14.80 W, 40, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:05:13.385, 0 %, 0 %, 14.74 W, 40, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:05:18.394, 0 %, 0 %, 14.61 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:05:23.404, 100 %, 6 %, 91.74 W, 47, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:05:28.408, 100 %, 2 %, 105.70 W, 50, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:05:33.420, 100 %, 2 %, 106.97 W, 50, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:05:38.426, 95 %, 5 %, 92.60 W, 51, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:05:43.430, 100 %, 6 %, 93.18 W, 52, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:05:48.435, 95 %, 5 %, 92.87 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:05:53.441, 100 %, 6 %, 93.20 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
