timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:08:50.070, 0 %, 0 %, 20.28 W, 52, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:08:55.085, 0 %, 0 %, 18.04 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:09:00.097, 1 %, 0 %, 16.92 W, 50, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:09:05.110, 0 %, 0 %, 16.30 W, 49, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:09:10.120, 100 %, 6 %, 92.94 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:09:15.125, 100 %, 2 %, 107.93 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:09:20.130, 100 %, 2 %, 108.25 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:09:25.134, 95 %, 5 %, 93.23 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:09:30.139, 100 %, 6 %, 93.17 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:09:35.144, 100 %, 6 %, 93.02 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:09:40.149, 100 %, 6 %, 93.28 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
