timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:12:37.354, 0 %, 0 %, 19.64 W, 53, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:12:42.369, 0 %, 0 %, 16.21 W, 52, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:12:47.381, 0 %, 0 %, 16.31 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:12:52.393, 0 %, 0 %, 16.32 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:12:57.406, 100 %, 6 %, 94.39 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:13:02.411, 100 %, 2 %, 108.98 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:13:07.415, 100 %, 2 %, 109.21 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:13:12.420, 95 %, 5 %, 94.76 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:13:17.425, 100 %, 6 %, 95.22 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:13:22.429, 95 %, 5 %, 95.14 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:13:27.434, 100 %, 6 %, 95.25 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
