timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:17:01.029, 1 %, 0 %, 16.09 W, 41, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:17:06.047, 0 %, 0 %, 15.18 W, 41, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:17:11.056, 0 %, 0 %, 15.51 W, 41, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:17:16.065, 0 %, 0 %, 15.31 W, 41, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:17:21.075, 100 %, 6 %, 91.62 W, 47, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:17:26.079, 100 %, 2 %, 107.67 W, 50, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:17:31.084, 100 %, 2 %, 107.85 W, 50, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:17:36.089, 95 %, 5 %, 93.52 W, 52, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:17:41.095, 100 %, 6 %, 93.67 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:17:46.100, 95 %, 5 %, 93.93 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:17:51.106, 100 %, 6 %, 93.89 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
