timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:23:37.916, 0 %, 0 %, 19.53 W, 53, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 04:23:42.931, 0 %, 0 %, 16.47 W, 52, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:23:47.943, 0 %, 0 %, 16.54 W, 51, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:23:52.956, 0 %, 0 %, 16.06 W, 50, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:23:57.969, 100 %, 6 %, 94.27 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:24:02.973, 100 %, 2 %, 109.00 W, 58, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:24:07.978, 100 %, 2 %, 109.76 W, 59, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:24:12.982, 95 %, 5 %, 94.46 W, 58, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:24:17.987, 100 %, 6 %, 94.63 W, 59, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:24:22.992, 95 %, 5 %, 94.47 W, 59, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 04:24:27.997, 100 %, 6 %, 94.48 W, 59, 1905 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
