timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:18:54.026, 0 %, 0 %, 19.96 W, 50, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 04:18:59.040, 0 %, 0 %, 16.60 W, 49, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:19:04.053, 0 %, 0 %, 16.36 W, 48, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:19:09.065, 0 %, 0 %, 16.04 W, 48, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:19:14.075, 100 %, 6 %, 93.94 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:19:19.079, 100 %, 2 %, 110.02 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:19:24.084, 100 %, 2 %, 108.99 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:19:29.089, 100 %, 6 %, 94.24 W, 56, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:19:34.094, 100 %, 6 %, 94.28 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:19:39.100, 95 %, 5 %, 93.73 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:19:44.104, 100 %, 6 %, 94.26 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
