timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:20:47.531, 0 %, 0 %, 20.55 W, 52, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:20:52.546, 0 %, 0 %, 16.44 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:20:57.559, 0 %, 0 %, 16.23 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:21:02.572, 0 %, 0 %, 15.96 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:21:07.581, 100 %, 6 %, 94.18 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:21:12.586, 100 %, 2 %, 108.54 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:21:17.591, 100 %, 2 %, 108.68 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:21:22.596, 95 %, 5 %, 94.26 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:21:27.601, 100 %, 6 %, 94.38 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:21:32.606, 95 %, 5 %, 94.47 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:21:37.611, 100 %, 6 %, 94.57 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
