timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:17:57.541, 0 %, 0 %, 20.62 W, 48, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:18:02.556, 0 %, 0 %, 15.77 W, 47, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:18:07.567, 0 %, 0 %, 18.46 W, 46, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:18:12.577, 0 %, 0 %, 15.43 W, 46, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:18:17.586, 100 %, 6 %, 93.42 W, 52, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:18:22.591, 100 %, 2 %, 108.92 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:18:27.595, 100 %, 2 %, 103.12 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:18:32.600, 100 %, 6 %, 94.39 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:18:37.604, 100 %, 6 %, 94.82 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:18:42.609, 100 %, 6 %, 94.71 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:18:47.614, 100 %, 6 %, 94.07 W, 56, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
