timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 05:01:24.496, 0 %, 0 %, 20.14 W, 53, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 05:01:29.511, 0 %, 0 %, 16.51 W, 52, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 05:01:34.524, 0 %, 0 %, 16.46 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 05:01:39.537, 0 %, 0 %, 16.37 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 05:01:44.549, 100 %, 6 %, 94.25 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:01:49.554, 100 %, 2 %, 108.85 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:01:54.559, 100 %, 2 %, 109.37 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:01:59.563, 100 %, 6 %, 94.43 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:02:04.568, 100 %, 6 %, 94.69 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:02:09.572, 95 %, 5 %, 94.37 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:02:14.578, 100 %, 6 %, 94.70 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
