timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 05:00:27.715, 0 %, 0 %, 20.63 W, 53, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 05:00:32.730, 0 %, 0 %, 16.11 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 05:00:37.750, 0 %, 0 %, 16.25 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 05:00:42.763, 0 %, 0 %, 16.38 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 05:00:47.775, 100 %, 6 %, 94.35 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:00:52.780, 100 %, 2 %, 108.71 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:00:57.785, 100 %, 2 %, 109.64 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:01:02.789, 95 %, 5 %, 94.54 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:01:07.794, 100 %, 6 %, 94.74 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:01:12.799, 95 %, 5 %, 94.83 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 05:01:17.803, 100 %, 6 %, 94.73 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
