timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:43:43.688, 0 %, 0 %, 18.95 W, 47, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:43:48.703, 0 %, 0 %, 15.74 W, 46, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:43:53.715, 0 %, 0 %, 17.83 W, 46, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:43:58.728, 0 %, 0 %, 15.31 W, 45, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:44:03.740, 100 %, 6 %, 93.34 W, 51, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:44:08.746, 100 %, 2 %, 108.43 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:44:13.751, 100 %, 2 %, 109.37 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:44:18.755, 100 %, 6 %, 94.26 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:44:23.761, 100 %, 6 %, 94.75 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:44:28.765, 95 %, 5 %, 94.62 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:44:33.770, 100 %, 6 %, 94.87 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
