timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:47:30.411, 0 %, 0 %, 19.89 W, 52, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:47:35.426, 0 %, 0 %, 16.16 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:47:40.439, 0 %, 0 %, 16.55 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:47:45.451, 0 %, 0 %, 16.28 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:47:50.464, 100 %, 6 %, 94.04 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:47:55.469, 100 %, 2 %, 108.79 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:48:00.474, 100 %, 2 %, 109.83 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:48:05.478, 100 %, 6 %, 94.54 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:48:10.484, 100 %, 6 %, 94.64 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:48:15.489, 95 %, 5 %, 94.28 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:48:20.493, 100 %, 6 %, 94.85 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
