timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:50:21.125, 0 %, 0 %, 19.71 W, 53, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:50:26.140, 0 %, 0 %, 16.37 W, 52, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:50:31.153, 0 %, 0 %, 17.55 W, 51, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:50:36.165, 0 %, 0 %, 16.58 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:50:41.177, 100 %, 6 %, 94.51 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:50:46.183, 100 %, 2 %, 108.84 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:50:51.188, 100 %, 2 %, 109.25 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:50:56.192, 95 %, 5 %, 94.49 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:51:01.198, 100 %, 6 %, 95.00 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:51:06.203, 95 %, 5 %, 94.90 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:51:11.207, 100 %, 6 %, 94.82 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
