timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:46:33.659, 0 %, 0 %, 19.22 W, 52, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:46:38.673, 0 %, 0 %, 16.87 W, 50, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:46:43.686, 0 %, 0 %, 15.83 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:46:48.698, 0 %, 0 %, 15.89 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:46:53.711, 100 %, 6 %, 94.10 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:46:58.715, 100 %, 2 %, 108.37 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:47:03.720, 100 %, 2 %, 108.76 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:47:08.726, 95 %, 5 %, 94.20 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:47:13.731, 100 %, 6 %, 94.69 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:47:18.735, 95 %, 5 %, 94.27 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:47:23.741, 100 %, 6 %, 94.60 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
