timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:48:27.209, 0 %, 0 %, 19.63 W, 53, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 04:48:32.224, 0 %, 0 %, 16.43 W, 51, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:48:37.236, 0 %, 0 %, 16.00 W, 50, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:48:42.248, 0 %, 0 %, 17.29 W, 49, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 04:48:47.261, 100 %, 6 %, 94.49 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:48:52.266, 100 %, 2 %, 108.46 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:48:57.271, 100 %, 2 %, 108.78 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:49:02.275, 95 %, 5 %, 94.33 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:49:07.280, 100 %, 6 %, 94.79 W, 58, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:49:12.286, 95 %, 5 %, 94.48 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:49:17.290, 100 %, 6 %, 94.73 W, 59, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
