timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 04:44:40.268, 0 %, 0 %, 19.48 W, 50, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 04:44:45.283, 0 %, 0 %, 15.65 W, 49, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:44:50.296, 0 %, 0 %, 15.33 W, 48, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:44:55.308, 0 %, 0 %, 15.58 W, 47, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 04:45:00.321, 100 %, 6 %, 94.11 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:45:05.325, 100 %, 2 %, 109.34 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:45:10.330, 100 %, 2 %, 109.43 W, 57, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:45:15.334, 95 %, 5 %, 94.68 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:45:20.340, 100 %, 6 %, 95.12 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:45:25.345, 95 %, 5 %, 95.17 W, 57, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 04:45:30.350, 100 %, 6 %, 94.17 W, 57, 1905 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
