timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:33:22.766, 0 %, 0 %, 19.18 W, 49, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 03:33:27.781, 0 %, 0 %, 15.74 W, 48, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:33:32.794, 0 %, 0 %, 15.77 W, 47, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:33:37.807, 0 %, 0 %, 15.41 W, 46, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:33:42.820, 100 %, 6 %, 93.54 W, 52, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:33:47.825, 100 %, 2 %, 109.46 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:33:52.829, 100 %, 2 %, 110.23 W, 56, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:33:57.834, 100 %, 6 %, 94.58 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:34:02.838, 100 %, 6 %, 94.79 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:34:07.843, 95 %, 5 %, 94.72 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:34:12.848, 100 %, 6 %, 94.71 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
