timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:34:19.309, 0 %, 0 %, 19.36 W, 50, 300 MHz, 810 MHz, 102 MiB, 8192 MiB, P5
2025/03/20 03:34:24.324, 0 %, 0 %, 16.06 W, 49, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:34:29.337, 0 %, 0 %, 15.60 W, 48, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:34:34.349, 0 %, 0 %, 16.47 W, 47, 300 MHz, 405 MHz, 102 MiB, 8192 MiB, P8
2025/03/20 03:34:39.362, 100 %, 6 %, 93.95 W, 53, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:34:44.368, 100 %, 2 %, 109.57 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:34:49.372, 100 %, 2 %, 110.01 W, 57, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:34:54.377, 95 %, 5 %, 95.04 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:34:59.383, 100 %, 6 %, 95.19 W, 56, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:35:04.387, 95 %, 5 %, 94.93 W, 57, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
2025/03/20 03:35:09.393, 100 %, 6 %, 95.18 W, 57, 1920 MHz, 6801 MHz, 259 MiB, 8192 MiB, P2
