timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:31:30.046, 0 %, 0 %, 16.04 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:31:35.061, 0 %, 0 %, 15.00 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:31:40.072, 0 %, 0 %, 14.43 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:31:45.081, 0 %, 0 %, 14.64 W, 40, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:31:50.093, 100 %, 6 %, 88.52 W, 47, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:31:55.097, 100 %, 2 %, 109.45 W, 50, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:32:00.102, 100 %, 2 %, 95.79 W, 50, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:32:05.108, 95 %, 5 %, 94.50 W, 51, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:32:10.113, 100 %, 6 %, 94.96 W, 52, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:32:15.117, 95 %, 5 %, 95.03 W, 52, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:32:20.123, 100 %, 6 %, 93.50 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
