timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], memory.total [MiB], pstate
2025/03/20 03:32:26.273, 0 %, 0 %, 19.14 W, 47, 300 MHz, 810 MHz, 101 MiB, 8192 MiB, P5
2025/03/20 03:32:31.289, 0 %, 0 %, 15.45 W, 46, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:32:36.302, 0 %, 0 %, 15.55 W, 45, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:32:41.314, 0 %, 0 %, 15.11 W, 45, 300 MHz, 405 MHz, 101 MiB, 8192 MiB, P8
2025/03/20 03:32:46.327, 100 %, 6 %, 94.44 W, 51, 1935 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:32:51.331, 100 %, 2 %, 108.25 W, 53, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:32:56.336, 99 %, 2 %, 109.03 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:33:01.342, 100 %, 6 %, 94.23 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:33:06.346, 100 %, 6 %, 94.53 W, 54, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:33:11.351, 95 %, 5 %, 94.44 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
2025/03/20 03:33:16.356, 100 %, 6 %, 94.42 W, 55, 1920 MHz, 6801 MHz, 258 MiB, 8192 MiB, P2
